Part,Value,Device,Package,Description,AREA,B2585,CURRENT,DCR,ESR,HALF_ANGLE,PACKAGE,POWER,SENSITIVITY,SKU,TEMP,VALUE,VB,VOLTAGE,VR,VS
R45,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R46,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R47,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R48,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R49,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R50,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R51,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R52,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R53,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R54,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R55,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R56,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
